ID,電影名(中),電影名(英),分級,上映日,導演,演員,類型,片長,劇情介紹,電影連結,海報連結,預告連結
1,小丑：雙重瘋狂,JOKER FOLIE A DEUX,"""輔""",2024-10-02,陶德菲利普斯,瓦昆菲尼克斯、女神卡卡,犯罪、劇情、音樂/歌舞,2時18分,"由導演陶德菲利普斯執導，瓦昆菲尼克斯、女神卡卡擔綱主演，分別飾演亞瑟佛萊克／小丑、哈莉奎茵他不再是獨自一人亞瑟入獄後遇見哈莉奎茵，他不再是獨自一人，哈莉奎茵也比出開槍手勢，認識後甚至展開共舞，並且畫上笑臉。
●《小丑：雙重瘋狂》",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7242,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240916007.jpg,https://www.youtube.com/embed/BD6Uf4qHEmk
2,台北追緝令,WEEKEND IN TAIPEI,"""輔""",2024-09-25,盧貝松,路克伊凡斯、姜成鎬、桂綸鎂,動作、劇情,1時41分,"《露西》盧貝松為本片編劇暨監製，台灣出身的導演黃嘉智執導，首部全片在台灣拍攝的好萊塢動作電影，《玩命關頭》路克伊凡斯與「韓哥」姜成鎬，以及「金馬影后」桂綸鎂主演。
美國緝毒局探員約翰（路克伊凡斯飾演），不僅是超強工作狂，更會犧牲一切、不擇手段，只為順利完成案件。
不巧，在命運的捉弄下，他與思維敏捷又難以追捕的頂級「車手」喬伊（桂綸鎂飾演）墜入愛河，最後卻捲入犯罪陰謀當中，迫使兩人分開。
沒想到15年過去，約翰為了緝捕販毒集團首腦關（姜成鎬飾演）來到台北，原本預計停留一個週末的時間，但彷彿命運再度出手攪和，讓他與喬伊奇蹟般地重逢。
不過威脅也伴隨而來，讓兩人不得不攜手迎戰！片中充滿熟悉的台灣街景，更直擊姜成鎬化身反派，與路克伊凡斯刺激打鬥，更驚見桂綸鎂逆轉形象挑戰街頭飛車戲碼，以及李沛旭展露驚人壯肌手持雙槍掃射等精彩畫面。
-采昌國際",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7413,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240806001.jpg,https://www.youtube.com/embed/MOGQ4tX2Ssc?si
3,再見，福寶,MY DEAREST FU BAO,"""普""",2024-10-04,沈炯俊、湯瑪斯高,福寶、愛寶、樂寶、輝寶、睿寶、姜哲遠、宋永寬、吳勝熙、李世賢,,1時34分,"福寶離開韓國的日子已確定了，福寶身邊的人無不感到惋惜。
終於迎來離別的瞬間，為了福寶的幸福而努力保持平常心的飼養員「姜寶」姜哲遠和「宋寶」宋永寬，內心也開始動搖……從得知離別之日將到來的每分每秒都真心感到依依不捨的他們，1354個日子以來，未曾揭曉的故事！你好，還有再見……-車庫娛樂",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7482,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240924001.jpg,https://www.youtube.com/embed/upbjQ3xGbzI?si
4,我的英雄學院劇場版：You're Next,MY HERO ACADEMIA YOURE NEXT,"""輔""",2024-09-20,岡村天齋,山下大輝、岡本信彥、佐倉綾音、梶裕貴、石川界人、三宅健太,動畫、奇幻/科幻、動作,1時50分,"在《我的英雄學院》作品中，大部分的人類都擁有名為「個性」的力量，但有力量之人卻不一定都屬於正義的一方。
只要邪惡出現的地方，必定會有英雄挺身而出拯救眾人。
一名天生沒有力量的少年「綠谷出久」從小就憧憬一位頂尖英雄，而他的夢想就是成為偉大的英雄，可是沒有力量的他能實現自己的夢想嗎？雖然困難重重，少年卻依舊不放棄，朝著自己的目標勇往前進。
作為《我的英雄學院》第四部劇場版作品，《我的英雄學院劇場版：You’reNext》將於8月2日在日本上映，台灣將於9月20日上映。
本次的全新原創故事是由原作者堀越耕平擔任總監修與角色原案。
-羚邦",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7436,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240820003.jpg,https://www.youtube.com/embed/NsEKtPvov_Q?si
5,變形金剛：源起,TRANSFORMERS ONE,"""普""",2024-09-13,喬許庫利,(配音)克里斯漢斯沃、布萊恩泰瑞亨利、史嘉蕾喬韓森、基根麥可奇、史蒂夫布希密、勞倫斯費許朋、喬漢姆,動畫、冒險、動作,1時44分,"《黑寡婦》史嘉蕾喬韓森、《雷神索爾》克里斯漢斯沃、《捍衛戰士:獨行俠》喬漢姆、《超級瑪利歐兄弟電影版》基根麥可奇、《蜘蛛人:穿越新宇宙》布萊恩泰瑞亨利、《捍衛任務4》勞倫斯費許朋等人配音。
故事發生在賽博坦，博派和狂派變形金剛的家鄉。
講述《變形金剛》宇宙最經典的角色，奧利安派克斯及D-16，是如何從一對並肩作戰的好兄弟成為勢不兩立的死敵，柯博文與密卡登。
－",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7258,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240730001.jpg,https://www.youtube.com/embed/KRYOSXVZMg0?si
6,TAEYONG： TY TRACK IN CINEMAS,TAEYONG TY TRACK IN CINEMAS,"""普""",2024-10-16,Yoon Dong Oh,TAEYONG,紀錄片、音樂/歌舞,1時36分,"透過大銀幕體驗NCT成員—泰容首場個人演唱會「TYTRACK」才華炸裂的舞台魅力！除了2D版本外，威秀影城更獨家推出4DX版本，帶領NCTzen在電影院體驗無可比擬的身歷其境觀影感受。
一同走進泰容動人的音樂世界，感受多元絕妙的音樂曲風和震撼人心的舞台演出！「TYTRACK」以電影形式透過一系列音樂和能量爆棚的舞台，展現泰容不拘一格的藝術眼光！步入舞台後，親眼見證泰容為這場不凡演唱會精心準備的歷程，和他一同踏上舞台，傾聽他最真摯的分享。
《TAEYONG:TYTRACKINCINEMAS》帶你進入音樂與歌手的世界，深度探索塑造他非凡人生的難忘旅程。
ExperiencetheunparalleledtalentofNCT'sTAEYONGinhisfirstsoloconcert'TYTRACK'onthebigscreen!DiveintothemesmerizingworldofTAEYONG,experiencinghisdiversemusicandcaptivatingperformances.'TYTRACK'presentsastunningarrayofmusicandvibrantstagesthatshowcaseTAEYONG'suniqueartisticvision,allpresentedonacinematicscale.WitnessthejourneybehindthescenesasTAEYONGpreparesforhisgroundbreakingconcert.Stepontothestagewithhim,andheartheheartfeltstorieshehaslongedtoshare.'TAEYONG:TYTRACKINCINEMAS'isadeepdiveintothemusic,theartist,andtheincrediblejourneythathasshapedhispath.",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7457,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240909001.jpg,https://www.youtube.com/embed/2pi_wLl4kw4
7,JUNG KOOK：I AM STILL THE PARTY EDITION,JUNG KOOK I AM STILL THE PARTY EDITION,"""普""",2024-10-11,JUNSOO PARK ,JUNG KOOK,音樂/歌舞,1時52分,"「Party,party,yeah!」熱映電影《JUNGKOOK:IAMSTILL》重返大銀幕，邀你參加額外驚喜合唱派對！觀賞片中魅力四射的演唱會片段、訪談與幕後花絮，此版本更額外新增20分鐘的合唱影片，終極派對活動即將嗨翻電影院。
與ARMY一起在全球各地的戲院重溫田柾國的勁歌金曲，包括〈Seven(feat.Latto)〉、〈3D(feat.JackHarlow)〉和〈StandingNexttoYou〉等精彩曲目。
這是在大銀幕上觀賞《JUNGKOOK:IAMSTILL》的最後機會，快來一睹田柾國不可思議的成名之路，回顧他與全世界的ARMY一起締造的感性時刻。
“Party,party,yeah!”ThehitmovieJUNGKOOK:IAMSTILLreturnstocinemaswithabonussingalongparty!Experiencethemovie,featuringelectrifyingconcertperformances,interviews,andbehind-the-scenesfootage,alongwith20minutesofsingalongvideosfortheultimatepartyeventincinemas.JointogetherwithARMYtocelebrateJungKook'shitsongsinglobalcinemas,including""Seven(feat.Latto),""""3D(feat.JackHarlow)""and""StandingNexttoYou""amongothers.ThisisthefinalchancetoseeJUNGKOOK:IAMSTILLonthebigscreen,capturinghisremarkablerisetofameandheartfeltmomentswithARMYaroundtheworld.",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7429,https://www.vscinemas.com.tw/vsweb/upload/film/film_20241001007.jpg,https://www.youtube.com/embed/ZicTMmnGtek
8,劇團☆新感線「BASARAO」大千秋樂-現場直播,BASARAO FINALE Live Viewing,"""普""",2024-10-17, , , ,1時52分,"::威秀影城獨家零秒差直播::🚄劇團☆新感線「𝐁𝐀𝐒𝐀𝐑𝐀𝐎」大千秋樂◤大好評最終場◢公認為日本首屈一指的「劇團☆新感線」，曾經創下單劇公演兩月內動員10萬人入場觀看的傲人紀錄，其44週年公演最新作品「BASARAO」歷經福岡首演，東京巡演，最終移師大阪公演，並選定10/17進行大千秋樂場，作為完美謝幕之作！劇團☆新感線的作品除了豐富的動作場面、華麗的舞台設計、誇張的表演風格，亦滿載大量的詼諧元素。
經典劇目以涵蓋歷史、武士道、奇幻等題材聞名，同時加入搖滾樂及摩登音效設計，形成一種獨特的「劇場搖滾」風格，深受觀眾喜愛。
本劇雙男主「中村倫也」與「生田斗真」私交甚篤，雙方長年的合作默契與真實互動，融合於同台競演中，更讓海外內觀眾格外入迷！繼上個月大獲好評的東京場直播後，威秀影城再度獨家為新感線的劇迷同好們，獻上大阪大千樂場現場直播！敬請把握這難得的機會，與日本現場觀眾零秒差同步感動！─絢麗卡司─生田斗真│中村倫也│西野七瀬│粟根まこと│りょう│古田新太─劇情簡介─在幕府與天皇對立的動盪時代，前間諜「海里」（中村倫也飾）遇見了容貌非凡的「日向」（生田斗真飾）。
因其盛世美顏與權謀吸引追隨者，策劃推翻幕府。
兩人在「瘋狂櫻花」下結盟，展開一場權力鬥爭。
以美貌為武器，這個謀劃稱霸世界的男人「日向」是否能撼動天下…★★★★(售票情報)★★★★劇團☆新感線「BASARAO」大千秋樂-現場直播✨直播時間：10/17(四)上午10:45入場✨直播地點：台北信義威秀影城✨售票時間：10/09(三)中午12:00起，售完為止。
✨購票通路：直播影城現場│威秀影城官網│官方APP線上訂票系統✨票價：1000元🎁現場直播專屬特典即將公開，敬請期待！★★★★★★★★★★★★★★注意事項：●本直播為全日文原音，無中文字幕。
●全部劃位，售完為止。
●本活動不適用銀行優惠。
於「威秀影城官網/官方APP」購票者，每張票需加收NT$20手續費。
●現場購票者(每人限購4張)，請依現場規劃動線排隊。
●「威秀影城官方APP」免取票、手機進場，請於直播開演前15分鐘內用「原訂票手機」開啟APP系統與藍芽功能，方可驗票進場。
●愛心票、敬老票、團體電影優待券只限影城現場購票。
●持團券購票者需補價差至本節目票價。
●因使用光纖直播，音質和畫質會因網路狀況等因素，而受到一定程度的干擾。
敬請見諒。
●凡於「影城官方線上訂票系統」購買且已領取票券者，如因個人因素需退換票，請於開演前20分鐘，持未使用之票券與原購票之信用卡，親至票券上方顯示之「直播影城」辦理退換票(手續費恕不退還)。
如為影城自身因素或天候等影響無法照常直播需退票時，則參照一般電影票退換票辦法，影城將開放觀眾於7日內憑原票券至櫃台辦理，並將全額退款。
●演出時間將依據實際情況而異動。
若表演時間大幅超過預期，直播活動將可能提前結束，敬請理解。
●廳內嚴禁攝影、拍照、錄音，如經查獲，將刪除您的拍攝內容並要求離場。
期間任何器材損壞概不負責，同時為維護播映內容權益，影城將保留法律追訴權，謝謝您的合作。
",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7509,https://www.vscinemas.com.tw/vsweb/upload/film/film_20241008021.jpg, 
9,場總集篇 孤獨搖滾！RE：RE：,BOCCHI THE ROCK THE MOVIE.,"""普""",2024-10-11,齋藤圭一郎,(配音)青山吉能、鈴代紗弓、水野朔、長谷川育美,動畫、音樂/歌舞,1時15分,"人氣TV動畫《孤獨搖滾！》重新編輯，於戲院推出充滿迫力的大銀幕畫面及震撼音響效果的《劇場總集篇孤獨搖滾！》！「小孤獨」後藤一里與人說話時，開頭總會不自覺加個「啊」字，是個十分怕生的陰沉少女。
這樣的自己似乎也能靠玩樂團發光發熱，她抱著這般憧憬開始彈吉他，卻仍交不到朋友，每天獨自一人彈吉他6個小時，就這樣度過了國中時期。
一里彈奏吉他的技術日漸進步，以「吉他英雄」的名義在網路上傳影片，或妄想著自己在文化祭的活躍演出，等她回過神來，別說是找到樂團成員，她甚至沒交到半個朋友就成為了高中生……！只差一步就會成為家裡蹲的她，某天被「團結Band」的鼓手伊地知虹夏叫住，孤獨的日常生活也因此逐漸改變——-曼迪傳播",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7489,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240925003.jpg,https://www.youtube.com/embed/WA4dKuLaRvQ?si
10,MANKAI STAGE 『A3!』 Four Seasons LIVE 2024 現場直播,MANKAI STAGE 『A3!』 Four Seasons LIVE 2024,"""普""",2024-11-03, , , ,1時15分,"𝐌𝐀𝐍𝐊𝐀𝐈𝐒𝐓𝐀𝐆𝐄『𝐀𝟑!』𝐅𝐨𝐮𝐫𝐒𝐞𝐚𝐬𝐨𝐧𝐬𝐋𝐈𝐕𝐄𝟐𝟎𝟐𝟒✦✦四季美男。
巔峰之作✦✦◠◡◠◡◠◡◠◡◠◡◠◡◠◡◠◡◠◡◠◡◠◡◠◡◠◡◠◡下載量超過800萬次的超人氣美男養成遊戲《A3!》，自2018年改編成舞台劇以來，持續橫掃各大媒體，不單侷限於舞台劇，更是突破次元壁，在日本境內及亞洲各城市急速綻放！本次將集結四季中的29位人氣成員輪番上陣，並透過重新洗牌後混合演出，此公演可說是自2022起開展的「AesteACT2!」系列顛峰之作！歡迎就近於北中南威秀影城，透過影廳大銀幕與日本零秒差同步參與這部海內外大注目的人氣舞台劇！★★★★(售票情報)★★★★MANKAISTAGE『A3!』FourSeasonsLIVE2024現場直播🎵直播時間：11/03(日)16:45入場🎵直播地點：-台北信義威秀影城-台中大魯閣新時代威秀影城-高雄大遠百威秀影城🎵售票時間：10/08(二)12:00起，售完為止。
🎵購票通路：直播影城現場│威秀影城官網│官方APP線上訂票系統🎵票價：1000元★★★★★★★★★★★★注意事項：●本直播為全日文原音，無中文字幕。
●全部劃位，售完為止。
●本活動不適用銀行優惠。
「威秀影城官網」與「威秀影城官方APP」線上訂票系統購票者，每張票需加收NT$20手續費。
●現場購票者(每人限購4張)，請依現場規劃動線排隊。
●「威秀影城官方APP」免取票、手機進場，請於直播開演前15分鐘內用「原訂票手機」開啟APP系統與藍芽功能，方可驗票進場。
●愛心票、敬老票、團體電影優待券只限影城現場購票。
●持團券購票者需補差價至本節目票價。
●現場衛星直播可能因天氣影響造成收訊品質下降，若因不可抗力因素中止直播，敬請見諒。
●凡於線上刷卡付費且已領取票券者，如因個人因素需退換票，請於開演前20分鐘，持未使用之電影票與原購票之信用卡，親至原購買影城辦理退換票，退換票恕不退還手續費。
如為影城自身因素或天候影響無法照常直播需退票時，則參照一般電影票退換票辦法，影城將開放觀眾於7日內可憑原票券至櫃台辦理，並將全額退款。
●演出時間將依據實際情況而異動。
若表演時間大幅超過預期，直播活動將可能提前結束，敬請理解。
●廳內嚴禁攝影、拍照、錄音，如經查獲，將刪除您的拍攝內容並要求離場。
期間任何器材損壞概不負責，同時為維護播映內容權益，影城將保留法律追訴權，謝謝您的合作。
",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7487,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240925001.jpg, 
11,Sakura Miko 1st Live《flower fantasista》現場直播,Sakura Miko 1st Live《flower fantasista》Live Viewing,"""普""",2024-10-26, , , ,1時15分,":威秀影城獨家零秒差直播x𝐡𝐨𝐥𝐨𝐥𝐢𝐯𝐞::🎊🌸櫻巫女𝟏𝐬𝐭𝐒𝐨𝐥𝐨𝐋𝐢𝐯𝐞🌸🎊✧人氣首發✧-從零期生到突破②⓪⓪萬訂閱𝐒𝐚𝐤𝐮𝐫𝐚𝐌𝐢𝐤𝐨正式推出首次個人𝐋𝐢𝐯𝐞專場𝟑𝟓𝐏～😎約嗎？大銀幕看巨「櫻」！▞───────────售票情報─────────▞𝐒𝐚𝐤𝐮𝐫𝐚𝐌𝐢𝐤𝐨𝟏𝐬𝐭𝐋𝐢𝐯𝐞《𝐟𝐥𝐨𝐰𝐞𝐫𝐟𝐚𝐧𝐭𝐚𝐬𝐢𝐬𝐭𝐚》現場直播🎤直播時間：10/26(六)16:45入場🎤直播地點：‧台北信義威秀影城‧台北京站威秀影城‧台中大魯閣新時代威秀影城‧高雄大遠百威秀影城🎤全球同步啟售時間：09/30(一)17:00起，售完為止。
🎤購票通路：直播影城現場│威秀影城官網│官方APP線上訂票系統🎤票價：1,680元✈✈現場直播專屬特典：「(航空版)櫻巫女大禮包-紀念票卡+特製應援棒+限定卡貼(一組3張)」乙套，將於當日入場時發送！▞──────────────────────────▞[重要資訊│注意事項]●全部劃位，售完為止。
●威秀影城當日將同步拍攝活動紀錄，現場觀眾皆有可能入鏡，歡迎大家共襄盛舉！※現場直播專屬特典僅限直播當日入場時發送，逾期未領視同放棄。
-圖案均相同，除嚴重瑕疵不良品外，恕不接受更換，敬請理解。
●本活動為於日本東京ARIAKEARENA(有明體育館)所舉行的『SakuraMiko1stLive-flowerfantasista!-""』演唱會之現場直播。
●本直播為演唱會現場原音，無中文字幕。
●參與本活動的電影院名單之後可能會有所增加或變更。
●活動實際開始時間可能會因日本當日及現場情況而延遲。
●由於本活動為現場直播，音質和畫質會因網路狀況等因素，而受到一定程度的干擾，如因不可預期的情況導致影像或音訊干擾甚至中斷，敬請提前知悉與見諒。
●預期直播時間將根據當天演唱會實際情況有所變動，可能會早於或晚於預定時間結束。
若表演時間大幅超過預期，直播活動將可能提前結束，敬請理解。
●影廳內嚴禁攝影、拍照、錄音，如經查獲，將刪除您的拍攝內容並要求離場。
期間任何器材損壞概不負責，同時為維護播映內容權益，影城將保留法律追訴權，謝謝您的合作。
●官方因應活動紀錄需求，將於廳內進行拍攝，其照片和影片將用於HololiveProduction的內部資料使用，但用於新聞稿或宣傳素材使用時，現場觀眾會以馬賽克處理。
感謝您的事前理解。
●本活動不適用銀行優惠。
於「威秀影城官網/官方APP」購票者，每張票需加收NT$20手續費。
●現場購票者(每人限購4張)，請依現場規劃動線排隊。
●「威秀影城官方APP」免取票、手機進場，請於直播開演前15分鐘內用「原訂票手機」開啟APP系統與藍芽功能，方可驗票進場。
●愛心票、敬老票、團體電影優待券只限影城現場購票。
●持團券購票者需補價差至本節目票價。
●凡於「影城官方線上訂票系統」購買且已領取票券者，如因個人因素需退換票，請於開演前20分鐘，持未使用之票券與原購票之信用卡，親至票券上方顯示之「直播影城」辦理退換票(手續費恕不退還)。
如為影城自身因素或天候等影響無法照常直播需退票時，則參照一般電影票退換票辦法，影城將開放觀眾於7日內憑原票券至櫃台辦理，並將全額退款。
❍─────[威秀影城零秒差直播-應援須知]────❍★觀賞期間請勿阻擋走道或影廳動線，任何影響他人進出及場內安全之行為皆被禁止。
★歡迎使用官方手燈、週邊商品進行應援，如有自製應援品，其長寬高尺寸不可超出45公分；影響觀眾視線、安全及發出噪音之干擾器具皆禁止於場內使用。
★直播節目進行中，請勿喧嘩影響他人權益，亦請配合於活動過程中勿有劇烈俯仰晃動、場內奔跑等干擾鄰座之行為。
★若發現嚴重擾亂現場秩序之行為，請向影城工作人員反應，無法聽從工作人員指示者，將強制驅離影廳，亦不會退還任何票款。
敬請配合與理解。
",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7490,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240925004.jpg, 
12,2024 DONGHAE B DAY PARTY 《Welcome To My Ocean》現場直播,2024 DONGHAE B DAY PARTY 《Welcome To My Ocean》LIVE VIEWING,"""普""",2024-10-13, , , ,1時15分,"::威秀影城零秒差直播::▞北中南歡慶加開▞𝟐𝟎𝟐𝟒𝐃𝐎𝐍𝐆𝐇𝐀𝐄🎂𝐁𝐃𝐀𝐘𝐏𝐀𝐑𝐓𝐘___《𝒲𝑒𝓁𝒸𝑜𝓂𝑒𝒯𝑜ℳ𝓎𝒪𝒸𝑒𝒶𝓃》🌊生日派對邀請函___𝐀𝐍𝐍𝐈𝐄&𝐄.𝐋.𝐅.每年10月，都想幫東海慶生～今年10月，約好了一起應援一起瘋！一起大聲唱：「오빠!생일축하해요」（歐巴，生日快樂！）已迫不及待進入你的世界💙▘──────────加開情報───────────▞𝟐𝟎𝟐𝟒𝐃𝐎𝐍𝐆𝐇𝐀𝐄𝐁𝐃𝐀𝐘𝐏𝐀𝐑𝐓𝐘《𝐖𝐞𝐥𝐜𝐨𝐦𝐞𝐓𝐨𝐌𝐲𝐎𝐜𝐞𝐚𝐧》現場直播♬直播時間：10/13(日)13:45入場♬直播地點：·MUVIECINEMAS·台北信義威秀影城（加廳）·台中大魯閣新時代威秀影城（新增）·高雄大遠百威秀影城（新增）♬售票日期：10/03(四)中午12:00起，售完為止。
♬購票通路：直播影城現場│威秀影城官網│官方APP線上訂票系統♬票價（不適用信用卡優惠）‧MUVIECINEMAS(TITANSCREEN)-1215元‧威秀影城-1015元✈✈現場直播專屬特典：韓國空運”專屬相片小卡”乙張～將於活動當日入場時發送！▘──────────────────────────▞[重要資訊│注意事項]●全部劃位，售完為止。
●威秀影城當日將同步拍攝活動紀錄，現場觀眾皆有可能入鏡，歡迎大家共襄盛舉！※現場直播專屬特典僅限直播當日入場時發送，逾期未領視同放棄。
-圖案均相同，除嚴重瑕疵不良品外，恕不接受更換，敬請理解。
●本直播為活動現場原音，無中文字幕。
●本活動不適用銀行優惠。
於「威秀影城官網/官方APP」購票者，每張票需加收NT$20手續費。
●現場購票者(每人限購4張)，請依現場規劃動線排隊。
●「威秀影城官方APP」免取票、手機進場，請於直播開演前15分鐘內用「原訂票手機」開啟APP系統與藍芽功能，方可驗票進場。
●愛心票、敬老票、團體電影優待券只限影城現場購票。
●持團券購票者需補價差至本節目票價。
●因使用光纖直播，音質和畫質會因網路狀況等因素，而受到一定程度的干擾。
敬請見諒。
●凡於「影城官方線上訂票系統」購買且已領取票券者，如因個人因素需退換票，請於開演前20分鐘，持未使用之票券與原購票之信用卡，親至票券上方顯示之「直播影城」辦理退換票(手續費恕不退還)。
如為影城自身因素或天候等影響無法照常直播需退票時，則參照一般電影票退換票辦法，影城將開放觀眾於7日內憑原票券至櫃台辦理，並將全額退款。
●演出時間將依據實際情況而異動。
若表演時間大幅超過預期，直播活動將可能提前結束，敬請理解。
●廳內嚴禁攝影、拍照、錄音，如經查獲，將刪除您的拍攝內容並要求離場。
期間任何器材損壞概不負責，同時為維護播映內容權益，影城將保留法律追訴權，謝謝您的合作。
❍─────[威秀影城零秒差直播-應援須知]────❍★觀賞期間請勿阻擋走道或影廳動線，任何影響他人進出及場內安全之行為皆被禁止。
★歡迎使用官方手燈、週邊商品進行應援，如有自製應援品，其長寬高尺寸不可超出45公分；影響觀眾視線、安全及發出噪音之干擾器具皆禁止於場內使用。
★直播節目進行中，請勿喧嘩影響他人權益，亦請配合於活動過程中勿有劇烈俯仰晃動、場內奔跑等干擾鄰座之行為。
★若發現嚴重擾亂現場秩序之行為，請向影城工作人員反應，無法聽從工作人員指示者，將強制驅離影廳，亦不會退還任何票款。
敬請配合與理解。
",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7486,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240924030.jpg, 
13,寶塚歌劇　雪組東京寶塚劇場公演千秋樂「彩風咲奈（Sakina Ayakaze）LAST DAY」現場直播,Takarazuka Revue Snow Troupe Tokyo Takarazuka Theater Last Performance 'Sakina Ayakaze LAST DAY' Live Broadcast,"""普""",2024-10-13, , , ,1時15分,"::威秀影城獨家零秒差直播::寶塚雪組❄「𝓣𝓸𝓹𝓢𝓽𝓪𝓻彩風咲奈（SakinaAyakaze）LASTDAY」　──永恆經典‧時代演繹──✦✦✦✦✦✦✦✦✦✦✦2024年10月13日（日），於東京寶塚劇場（東京都）上演，由三井住友VISA卡冠名的寶塚浪漫巨作『凡爾賽玫瑰』─菲爾遜篇─，改編自池田理代子的原作「凡爾賽玫瑰」。
本次千秋樂演出，已確定於香港及台灣的電影院進行現場直播。
自1974年的首演以來，『凡爾賽玫瑰』已經吸引了超過500萬名觀眾，作為寶塚歌劇最經典的作品，創造了無數的傳奇舞台。
這部顛覆了少女漫畫的代表作品，跨越時代和國界，至今仍深受無數海內外觀眾喜愛。
以革命之火正旺的法國為舞台，描述兩對戀人之間不被允許的戀情。
為慶祝首演50周年，『凡爾賽玫瑰』─菲爾遜篇─將透過電影院的大銀幕同步呈現給大家。
本次千秋樂將會是寶塚歌劇團雪組TopStar「彩風咲奈」的告別演出。
除此之外，還將為大家完整呈現珍貴的告別秀及退團團員謝辭。
敬請把握這次難得的機會，一同送別「彩風咲奈」及其TOP生涯中的最後舞台！▘──────────劇情簡介───────────▞───『凡爾賽玫瑰』描繪了18世紀末法國波旁王朝的衰落，以及圍繞著瑪麗•安東妮王妃、瑞典貴族菲爾遜與女軍官奧斯卡之間的情感糾葛。
故事從一場巴黎的華麗舞會展開，菲爾遜對安東妮一見鍾情，兩人展開了不為人知的戀情，儘管國內政治日趨緊張、民怨沸騰。
奧斯卡忠於王妃，卻對菲爾遜的純潔所動。
隨著革命爆發，菲爾遜被迫回到瑞典，但仍心系安東妮，最終在革命爆發後試圖返回法國救出她。
該作展現了波旁王朝的滅亡及人物的命運交織的故事…▘──────────售票情報───────────▞寶塚歌劇　雪組東京寶塚劇場公演千秋樂「彩風咲奈（SakinaAyakaze）LASTDAY」現場直播❄直播時間：10/13(日)12:15入場❄直播地點：-台北京站威秀影城-林口M.O.P.威秀影城-台中大魯閣新時代威秀影城-高雄大遠百威秀影城❄售票時間：09/20(五)中午12:00起，售完為止。
❄購票通路：直播影城現場│威秀影城官網│官方APP線上訂票系統❄票價：1400元▘───────────────────────────▞注意事項：●全部劃位，售完為止。
●『凡爾賽玫瑰』─菲爾遜篇─以中文字幕呈現。
●本活動不適用銀行優惠。
於「威秀影城官網/官方APP」購票者，每張票需加收NT$20手續費。
●現場購票者(每人限購4張)，請依現場規劃動線排隊。
●「威秀影城官方APP」免取票、手機進場，請於直播開演前15分鐘內用「原訂票手機」開啟APP系統與藍芽功能，方可驗票進場。
●愛心票、敬老票、團體電影優待券只限影城現場購票。
●持團券購票者需補價差至本節目票價。
●因使用光纖直播，音質和畫質會因網路狀況等因素，而受到一定程度的干擾。
敬請見諒。
●凡於「影城官方線上訂票系統」購買且已領取票券者，如因個人因素需退換票，請於開演前20分鐘，持未使用之票券與原購票之信用卡，親至票券上方顯示之「直播影城」辦理退換票(手續費恕不退還)。
